date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:02:31	520714/520714	---M-Z	200	added ('OK')	application/javascript	etag:W/%2257d97c08-7f20a%22	https://code.jquery.com/ui/1.12.1/jquery-ui.js	/Users/zz/Desktop/websites/Test_360/code.jquery.com/ui/1.12.1/jquery-ui.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:32	736574/736574	---M--	200	added ('OK')	application/javascript	etag:W/%22b3d3e-169be6705e9%22	https://hyper360.api.eng.it/resource/view/360/lib/js/semantic/semantic.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/semantic/semantic.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:32	18766/18766	---M--	200	added ('OK')	application/json	etag:W/%22494e-qhqH90fjAQc5tdHS6mhDe70wD2M%22	https://hyper360.api.eng.it/H360/use/config?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&group=RTI_HYPER360ASSESS	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/H360/use/configaec6.json	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:33	21173/21173	---M--	200	added ('OK')	application/javascript	etag:W/%2252b5-17106ca47c0%22	https://hyper360.api.eng.it/resource/view/360/js/use/playerEngine.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/use/playerEngine.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:34	657/657	---M--	200	added ('OK')	application/javascript	etag:W/%22291-16aa245ff7a%22	https://hyper360.api.eng.it/resource/view/360/js/use/playerTime.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/use/playerTime.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:35	488/488	---M--	200	added ('OK')	application/javascript	etag:W/%221e8-16ad6892b49%22	https://hyper360.api.eng.it/resource/view/360/js/use/playerProgressBar.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/use/playerProgressBar.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:36	1123/1123	---M--	200	added ('OK')	application/javascript	etag:W/%22463-1714e9b4a9e%22	https://hyper360.api.eng.it/resource/view/360/js/use/playerWindowResizeEngine.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/use/playerWindowResizeEngine.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:37	1405/1405	---M--	200	added ('OK')	application/javascript	etag:W/%2257d-16ae444c5ef%22	https://hyper360.api.eng.it/resource/view/360/js/use/playerEngineTime.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/use/playerEngineTime.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:38	543/543	---M--	200	added ('OK')	application/javascript	etag:W/%2221f-17162e9a4c3%22	https://hyper360.api.eng.it/resource/view/360/js/use/playerActivityEngine.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/use/playerActivityEngine.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:39	2091/2091	---M--	200	added ('OK')	application/javascript	etag:W/%2282b-1724b7c3eed%22	https://hyper360.api.eng.it/resource/view/360/js/use/playerMouseOverEngine.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/use/playerMouseOverEngine.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:40	17090/17090	---M--	200	added ('OK')	application/javascript	etag:W/%2242c2-1724b203040%22	https://hyper360.api.eng.it/resource/view/360/js/utility.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/utility.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:41	460/460	---M--	200	added ('OK')	application/javascript	etag:W/%221cc-16d86b34fd7%22	https://hyper360.api.eng.it/resource/view/360/js/objects/objectsutility.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/objects/objectsutility.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:42	323/323	---M--	200	added ('OK')	application/javascript	etag:W/%22143-16b0943b9c3%22	https://hyper360.api.eng.it/resource/view/360/js/objects/weightmanaging.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/objects/weightmanaging.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:43	708/708	---M--	200	added ('OK')	application/javascript	etag:W/%222c4-170a0b9f3be%22	https://hyper360.api.eng.it/resource/view/360/js/coordsConversion.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/coordsConversion.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:44	1961/1961	---M--	200	added ('OK')	application/javascript	etag:W/%227a9-16e6f40f739%22	https://hyper360.api.eng.it/resource/view/360/js/videoControl.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/videoControl.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:45	3830/3830	---M--	200	added ('OK')	application/javascript	etag:W/%22ef6-1720f982594%22	https://hyper360.api.eng.it/resource/view/360/js/videoSphere.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/videoSphere.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:46	3166/3166	---M--	200	added ('OK')	application/javascript	etag:W/%22c5e-169be6705d7%22	https://hyper360.api.eng.it/resource/view/360/js/objects/hotspot.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/objects/hotspot.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:47	9367/9367	---M--	200	added ('OK')	application/javascript	etag:W/%222497-16db06ae0c2%22	https://hyper360.api.eng.it/resource/view/360/js/objects/sceneText.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/objects/sceneText.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:48	3273/3273	---M--	200	added ('OK')	application/javascript	etag:W/%22cc9-170afde15e0%22	https://hyper360.api.eng.it/resource/view/360/js/objects/imagecomp.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/objects/imagecomp.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:49	14728/14728	---M--	200	added ('OK')	application/javascript	etag:W/%223988-1720838256b%22	https://hyper360.api.eng.it/resource/view/360/js/objects/video2D.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/js/objects/video2D.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
